Session,Team,No,Space,Action,Erros,Attempts,Score
1,IRI,5,2,2,0.0,0.0,0.0
1,IRI,18,5,3,0.0,0.0,0.0
1,IRI,2,5,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,5,11,6,0.0,0.0,0.0
1,IRI,2,7,3,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,5,11,6,1.0,0.0,0.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,22,7,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,22,11,6,0.0,0.0,0.0
1,IRI,1,1,2,0.0,0.0,0.0
1,IRI,22,8,3,0.0,0.0,0.0
1,IRI,18,13,5,0.0,0.0,0.0
1,IRI,2,1,3,0.0,0.0,0.0
1,IRI,17,3,3,1.0,0.0,0.0
1,IRI,1,11,4,0.0,0.0,0.0
1,IRI,1,7,3,1.0,0.0,0.0
1,IRI,22,8,8,0.0,0.0,0.0
1,IRI,2,1,1,0.0,0.0,0.0
1,IRI,18,2,3,0.0,0.0,0.0
1,IRI,8,1,3,1.0,0.0,0.0
1,IRI,1,4,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,18,10,4,0.0,0.0,0.0
1,IRI,5,1,2,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,17,5,5,0.0,0.0,0.0
1,IRI,2,3,1,0.0,0.0,0.0
1,IRI,2,3,1,0.0,0.0,0.0
1,IRI,2,3,2,1.0,0.0,0.0
1,IRI,2,11,6,1.0,0.0,0.0
1,IRI,18,1,8,1.0,0.0,0.0
1,IRI,18,1,8,0.0,0.0,0.0
1,IRI,8,8,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,5,11,6,0.0,0.0,1.0
1,IRI,5,11,6,0.0,0.0,1.0
1,IRI,5,11,6,0.0,0.0,0.0
1,IRI,1,3,2,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,1,8,5,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,8,7,3,1.0,0.0,0.0
1,IRI,22,11,6,0.0,0.0,0.0
1,IRI,22,5,3,1.0,0.0,0.0
1,IRI,22,7,8,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,2,2,5,0.0,0.0,0.0
1,IRI,18,2,3,0.0,0.0,0.0
1,IRI,8,5,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,0.0
1,IRI,8,4,3,1.0,0.0,0.0
1,IRI,1,11,4,0.0,0.0,0.0
1,IRI,17,3,3,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,1.0,0.0,0.0
1,IRI,22,7,8,0.0,0.0,0.0
1,IRI,18,1,5,0.0,0.0,0.0
1,IRI,17,3,1,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,18,3,5,0.0,1.0,0.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,22,1,2,0.0,0.0,1.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,18,3,2,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,22,11,6,0.0,0.0,0.0
1,IRI,2,1,2,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,2,1,1,0.0,0.0,1.0
1,IRI,5,10,6,0.0,0.0,0.0
1,IRI,22,8,3,1.0,0.0,0.0
1,IRI,1,5,8,0.0,1.0,0.0
1,IRI,22,2,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,8,4,3,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,1,2,1,0.0,0.0,1.0
1,IRI,2,11,6,1.0,0.0,0.0
1,IRI,22,7,8,0.0,0.0,0.0
1,IRI,18,6,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,1,11,4,1.0,0.0,0.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,17,12,6,0.0,0.0,0.0
1,IRI,22,3,2,0.0,0.0,0.0
1,IRI,2,13,3,0.0,0.0,0.0
1,IRI,8,5,5,0.0,0.0,0.0
1,IRI,17,3,1,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,22,11,6,0.0,0.0,0.0
1,IRI,2,4,3,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,2,1,1,1.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,2,13,3,0.0,0.0,0.0
1,IRI,8,8,8,0.0,0.0,0.0
1,IRI,5,2,1,0.0,0.0,0.0
1,IRI,22,9,3,1.0,0.0,0.0
1,IRI,8,8,8,0.0,1.0,0.0
1,IRI,12,8,5,0.0,1.0,0.0
1,IRI,5,2,1,0.0,0.0,1.0
1,IRI,5,10,6,0.0,0.0,0.0
1,IRI,18,3,2,1.0,0.0,0.0
1,IRI,22,8,8,0.0,0.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,18,3,3,0.0,0.0,0.0
1,IRI,8,2,5,0.0,0.0,0.0
1,IRI,2,1,1,0.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,2,1,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,1,2,2,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,1,2,2,0.0,0.0,0.0
1,IRI,2,1,3,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,18,12,4,0.0,0.0,0.0
1,IRI,18,6,3,1.0,0.0,0.0
1,IRI,2,9,8,0.0,0.0,0.0
1,IRI,18,5,5,0.0,0.0,0.0
1,IRI,2,3,1,1.0,0.0,0.0
1,IRI,8,9,3,0.0,0.0,0.0
1,IRI,2,11,6,0.0,0.0,0.0
1,IRI,22,1,2,0.0,0.0,0.0
1,IRI,2,9,3,0.0,0.0,0.0
1,IRI,8,4,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,0.0
1,IRI,22,1,3,0.0,0.0,0.0
1,IRI,18,3,5,0.0,0.0,0.0
1,IRI,22,1,1,0.0,0.0,1.0
1,IRI,2,11,6,0.0,0.0,0.0
1,IRI,8,4,3,0.0,1.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,1,2,1,0.0,0.0,1.0
1,IRI,2,11,6,1.0,0.0,0.0
1,IRI,18,2,5,0.0,1.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,49,7,3,1.0,0.0,0.0
1,IRI,17,12,6,1.0,0.0,0.0
1,IRI,2,8,8,0.0,1.0,0.0
1,IRI,18,2,5,0.0,0.0,0.0
1,IRI,17,3,1,0.0,0.0,1.0
1,IRI,18,3,2,0.0,0.0,0.0
